era,neg,neu,pos,compound
MMLP2,0.167877193,0.728017544,0.104017544,-0.809040351
SSLP,0.1784,0.74895,0.07275,-0.79995
MMLP,0.175184211,0.747631579,0.077236842,-0.759752632
TDOSS,0.163,0.720142857,0.116666667,-0.609519048
KAM,0.152538462,0.740769231,0.106692308,-0.598569231
Infinite,0.149947368,0.750894737,0.099263158,-0.5131
MTBMB,0.142488372,0.733023256,0.124511628,-0.451876744
ESH,0.152264706,0.758676471,0.089088235,-0.444308824
ENC,0.133333333,0.77812963,0.088481481,-0.382301852
REC,0.151416667,0.732541667,0.116083333,-0.315125
REL,0.11037931,0.787482759,0.102172414,-0.193365517
REV,0.135066667,0.739133333,0.125933333,-0.079473333
