era,Title,Album,swear_total,total_words,swears_per_1000
MMLP,Shit on You,Devil’s Night,68,597,113.9028476
ENC,Get My Gun,D12 World,20,211,94.78672986
MMLP,Under the Influence,The Marshall Mathers LP,18,191,94.2408377
ENC,No More To Say,Featuring,9,126,71.42857143
MMLP,It Ain’t Nothin’ But Music,Devil’s Night,15,232,64.65517241
MMLP,Fight Music,Devil’s Night,24,407,58.96805897
ESH,Rap Game,8 Mile,10,181,55.24861878
Infinite,5 Star Generals,Sound Clash / 5 Star Generals,7,128,54.6875
MMLP2,Welcome 2 Hell,Hell: The Sequel,4,74,54.05405405
ESH,Drips,The Eminem Show,21,418,50.23923445
MMLP,Remember Me?,The Marshall Mathers LP,2,40,50
ENC,FACK,Curtain Call: The Hits (Deluxe Edition),23,472,48.72881356
REC,Untitled,Recovery,23,472,48.72881356
MMLP,Kim,The Marshall Mathers LP,6,125,48
ENC,Encore / Curtains Down,Encore (Deluxe Version),2,44,45.45454545
ENC,Git Up,D12 World,22,512,42.96875
MMLP2,Richard,Bottoms Up,17,410,41.46341463
Infinite,Just Don’t Give a Fuck,Slim Shady EP,24,596,40.26845638
ENC,Bitch,D12 World,6,152,39.47368421
MMLP,Kill You,The Marshall Mathers LP,39,995,39.1959799
ENC,Shake That,Curtain Call: The Hits (Deluxe Edition),10,256,39.0625
MMLP2,Living Proof,Hell: The Sequel,12,313,38.33865815
ENC,We Ain’t,The Documentary,8,209,38.27751196
MMLP,Pistol Pistol,Devil’s Night,12,321,37.38317757
ENC,6 In The Morning,D12 World,19,515,36.89320388
SSLP,Still Don’t Give a Fuck,The Slim Shady LP,29,799,36.29536921
ESH,We All Die One Day,The Bar Is Open,13,360,36.11111111
REC,Cold Wind Blows,Recovery,33,938,35.18123667
ESH,My Name,Man vs. Machine,10,286,34.96503497
MMLP2,So Much Better,The Marshall Mathers LP 2,29,840,34.52380952
REL,Elevator,Relapse: Refill,30,869,34.52243959
REL,Chemical Warfare,Chemical Warfare,9,262,34.35114504
ESH,The Sauce,Invasion: Shady Times,24,700,34.28571429
REC,Won’t Back Down,Recovery,25,733,34.10641201
MTBMB,Killer (Remix),Killer (Remix),22,651,33.79416283
ESH,Lady,The Bar Is Open,20,599,33.38898164
ESH,"The Conspiracy (Invasion, Pt. 2)",The Eminem Show (Expanded Edition),14,421,33.25415677
MMLP2,Above The Law,Hell: The Sequel,9,275,32.72727273
ESH,When the Music Stops,The Eminem Show,8,245,32.65306122
MMLP2,Rhyme or Reason,The Marshall Mathers LP 2,1,31,32.25806452
ESH,Hit ’Em Up,Eminem Vs. DJ Whoo Kid: Shady Classics,13,411,31.63017032
REC,"Airplanes, Pt. 2",B.o.B Presents: The Adventures of Bobby Ray (Deluxe Version),8,254,31.49606299
