,shit,ass,shitty,fuck,bitch,bitches,motherfuckers,dick,whore,fucking,dicks,asshole,motherfucker,fucked,slut,bastard,assholes,cunt,shits,prick,asses,bastards,sluts,pussy,pussies,fuckers,motherfucking,fucks,fucker,pricks,whores,cunts
ENC,78,41,0,64,41,6,18,16,3,30,0,2,9,14,3,2,1,0,0,1,2,1,0,1,2,4,3,3,1,0,0,0
ESH,100,32,0,56,46,11,10,11,2,15,6,1,9,10,2,0,0,0,0,0,0,1,1,5,2,0,4,2,0,0,0,0
Infinite,26,12,1,33,10,2,2,6,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAM,32,4,0,32,29,4,5,9,1,5,1,0,4,2,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0
MMLP,177,27,2,115,60,10,18,17,2,4,0,1,7,11,7,0,1,2,1,1,1,1,2,2,2,1,1,0,0,0,0,0
MMLP2,127,39,0,108,83,14,1,44,5,19,2,7,7,5,9,3,1,4,0,7,2,0,0,4,0,3,1,0,1,2,1,0
MTBMB,103,23,1,69,77,3,3,18,0,15,0,1,4,5,1,1,0,2,0,1,1,0,0,2,2,2,6,3,0,1,0,1
REC,66,24,1,61,30,4,1,15,1,2,1,1,1,2,8,0,0,2,1,4,1,1,0,5,2,0,0,1,0,3,0,0
REL,36,18,0,37,13,8,1,4,4,23,0,2,5,7,2,1,0,2,0,2,0,1,1,6,1,1,0,0,4,0,0,0
REV,32,5,0,21,13,2,0,3,0,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSLP,29,15,0,42,21,5,1,5,1,7,0,1,1,11,6,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TDOSS,51,10,1,50,38,2,1,9,0,5,0,1,1,2,1,0,0,0,1,4,0,0,0,4,0,1,0,0,0,1,0,0
